essence1,surface_ha,ID,essence2,essence3,essence4,essence5,essence6,essence7,essence8,essence9,essence10
Douglas vert,2711.2,0
Charme commun,6001.0,1
Hetre commun,3408.7,2
Chene pedoncule,4970.5,3
Bouleau verruqueux,2663.0,4
Chene sessile,9409.3,5
Pin noir,2390.4,6
Erable champetre,2180.3,7
